model,generation,rule,min,avg,max,neighbour,ca_size,time
2DCA,3,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,124,129.0,132,3,20,2.6177125819995126
2DCA,3,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,123,132.4,140,3,20,2.6949681139994937
2DCA,3,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,123,131.4,136,3,20,2.6811571119978908
2DCA,3,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,125.6,136,3,20,2.588988124000025
2DCA,3,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,123,128.4,135,3,20,2.6178178640002443
2DCA,3,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,130.6,140,3,20,2.6510562789990217
2DCA,3,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,128,130.8,135,3,20,2.653259350998269
2DCA,3,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,125,132.2,140,3,20,2.7015513650003413
2DCA,3,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,118,132.6,140,3,20,2.696519042001455
2DCA,4,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,115,128.2,146,3,20,2.6083165849995567
2DCA,4,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,125,127.4,130,3,20,2.604922364000231
2DCA,4,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,121,130.6,140,3,20,2.678810446999705
2DCA,4,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,127,130.2,136,3,20,2.65888367700245
2DCA,4,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,133.2,141,3,20,2.7289029319981637
2DCA,4,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,124,129.6,134,3,20,2.747986676000437
2DCA,4,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,129.4,137,3,20,2.6643613139967783
2DCA,4,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,122,127.4,134,3,20,2.596845898002357
2DCA,4,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,120,127.6,137,3,20,2.6107093499995244
2DCA,4,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,129,132.8,135,3,20,2.9230644829985977
2DCA,5,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,120,131.0,138,3,20,3.0998691790009616
2DCA,5,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,116,128.0,143,3,20,4.027281656002742
2DCA,5,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,120,128.4,139,3,20,4.022694808001688
2DCA,5,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,129.6,144,3,20,3.117531282998243
2DCA,5,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,125,132.8,143,3,20,2.6970843720009725
2DCA,5,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,123,132.2,143,3,20,2.6920308629996725
2DCA,5,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,126,130.4,137,3,20,2.647114529998362
2DCA,5,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,115,125.6,136,3,20,2.536803373001021
2DCA,5,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,123,128.4,132,3,20,2.6068227920004574
2DCA,5,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,129.0,141,3,20,2.640894924999884
2DCA,6,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,130.4,139,3,20,4.329959417002101
2DCA,6,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,126,129.4,131,3,20,4.68617975899906
2DCA,6,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,122,131.2,139,3,20,3.8863386849989183
2DCA,6,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,127,130.8,134,3,20,3.404248593000375
2DCA,6,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,135.4,143,3,20,3.162023475000751
2DCA,6,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,124,130.4,137,3,20,2.906253386998287
2DCA,6,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,123,134.0,145,3,20,2.9478600490001554
2DCA,6,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,122,128.4,139,3,20,2.9971345379999548
2DCA,6,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,118,129.0,141,3,20,2.797377120998135
2DCA,6,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,124,128.0,135,3,20,2.872962648001703
2DCA,7,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,118,127.2,138,3,20,2.9216649289992347
2DCA,7,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,129.6,139,3,20,2.7975814870005706
2DCA,7,102296675848156075421206813184685341774803723748782974472907782049960913318599656311269022159043524362867025178727224943069924298340177413771641225215,116,118.4,122,3,20,2.481434781002463
2DCA,7,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,82,143.6,231,3,20,3.025441480000154
2DCA,7,104876369980421723273110887872083717857615550667475522878870218298370456436844236383710113645919369482042329743309445762873880402968321143849638780895231,112,118.8,123,3,20,2.658216470001207
2DCA,7,3121802341560327154792538935330658895035821725732823002997561390171204780231718217022955185474048237143717705057491174339169657931115006445223935,115,122.0,135,3,20,3.0899657270019816
2DCA,7,104749301769539051059111709970891382859997516959907421526651161112762044089093816963792586181313524418785064249759426652744475957001639041247162851655679,14,88.4,113,3,20,3.390446827001142
2DCA,7,202913703607464219116906137446199355956867669695374433098593077467817703692843958769432643770297342368426924937778608028984962440340067165355900927,121,131.4,143,3,20,3.452971753999009
2DCA,7,6396462827480876413883096701039663841959431449524572565310308476199528095055938946621342169335926085564274333787768124227442954843856067121744177135,121,129.6,138,3,20,2.818553922999854
2DCA,7,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,109,131.6,197,3,20,2.7971195850004733
2DCA,8,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,109,135.4,229,3,20,2.8152904880007554
2DCA,8,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,112,161.0,231,3,20,3.4580083529981493
2DCA,8,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,110,156.8,261,3,20,3.2841454279987374
2DCA,8,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,112,114.8,117,3,20,2.3794706410008075
2DCA,8,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,111,143.8,201,3,20,2.985165567999502
2DCA,8,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,85,113.4,143,3,20,2.3487908220013196
2DCA,8,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,113,125.0,148,3,20,2.5970957099998486
2DCA,8,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,112,135.8,207,3,20,2.8160714369987545
2DCA,8,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,110,138.4,194,3,20,2.8809387350011093
2DCA,8,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,84,126.4,169,3,20,2.6137542159995064
2DCA,9,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,107,176.2,291,3,20,3.6302938320004614
2DCA,9,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,111,139.2,244,3,20,2.8861897970018617
2DCA,9,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,106,139.6,259,3,20,2.892580789997737
2DCA,9,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,112,126.8,155,3,20,2.6137168620007287
2DCA,9,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,114,124.8,150,3,20,2.576787834001152
2DCA,9,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,18,76.4,169,3,20,1.5682167859995388
2DCA,9,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,110,137.6,225,3,20,2.8273618439998245
2DCA,9,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,114,136.6,152,3,20,2.8157038760000432
2DCA,9,3121796433724323974335396591383739163827379959692804710034424751379995069053888095062380317042952850487426729149011937859247456466771515531067263,109,176.2,261,3,20,3.642202756000188
2DCA,9,255736763038273290237665088922072497840621826123905556144893569433335196234020395668539795541232177278521180243062781230511563146876535997491939639167,10,80.0,155,3,20,1.6478995290017338
