model,generation,rule,min,avg,max,neighbour,ca_size,time
2DCA,0,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,120,128.4,142,3,20,2.659993770001165
2DCA,0,7877703466965951741784356862959128443265788382021580589009765834561689170293574700951863729220303088751879007905492507289381878411509378061636115163081110,9,17.2,23,3,20,0.3515391050023027
2DCA,0,7164275930001436332908057909092572616582857087334611530173890038482887404177704067618066613283305917061350946687504173838187779610444304922346838368329140,8,32.6,49,3,20,0.6689333260001149
2DCA,0,11445676876323264676564492691012808646415109230580463824301630647140969625317262711659847747669598120984116030906135581850650215577605479496052809469143550,10,35.8,133,3,20,0.7285865230005584
2DCA,0,12798902358565192714335726579861868077092487985602170388466519343597524905180007124402537415869047687647974908006545362417738302489432036908212122592434380,9,11.4,14,3,20,0.2337646499981929
2DCA,0,2132238076528667164080031259068328257621530375170191899320797448715053107110211043688758964644377375894183171750932413474629322491414707733788017659751483,14,19.4,25,3,20,0.4001891189982416
2DCA,0,705041774367148636768666727860754719144064736213350172695320294751087836716241501959478666138506489371055957744527998736045579976796126609879155420696552,13,21.2,32,3,20,0.4365446379997593
2DCA,0,8947313404729452284238507869103898858305902267330290624123928661793493719025798882055510689085851382404517182184589570199324238903307581824473167532764756,12,23.8,46,3,20,0.4950159049985814
2DCA,0,12431770081522299792714413311343170723803359549613252589139780448975747120568879707298380984194774078895738886390228695343012998141937739614990712671026020,11,11.8,14,3,20,0.245896320000611
2DCA,0,12052689358851735464486254361626178586509993592348481628468884441457121483035492755044086972264146959032513085061345709033741702813452560237565269732914415,12,20.2,30,3,20,0.43636544100081665
2DCA,1,11445676876323264676564492691012808646415109230580463824301630647140969625317262711659847747669598120984116030906135581850650215577605479496052809469143550,11,16.0,26,3,20,0.33036723699842696
2DCA,1,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,127.0,137,3,20,2.598969673999818
2DCA,1,11445676876323264676564492691012808646415109230580463824301630647140969625317262711659847747669598120984116030906135581850650215577605479496052809469143550,13,39.8,68,3,20,0.8289750219992129
2DCA,1,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,120,132.2,138,3,20,2.7206536070007132
2DCA,1,11445676876323264676564492691012808646415109230580463824301630647140969625317262711659847747669598120984116030906135581850650215577605479496052809469143550,11,29.4,86,3,20,0.6105261920019984
2DCA,1,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,124.4,134,3,20,2.5289972280006623
2DCA,1,11445676876323264676564492691012808646415109230580463824301630647140969625317262711659847747669598120984116030906135581850650215577605479496052809469143550,10,11.4,15,3,20,0.2320155209999939
2DCA,1,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,123,132.4,136,3,20,2.702759411997249
2DCA,1,11445676876323264676564492691012808646415109230580463824301630647140969625317262711659847747669598120984116030906135581850650215577605479496052809469143550,10,17.8,38,3,20,0.36513573200136307
2DCA,1,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,118,128.4,139,3,20,2.640729069000372
2DCA,2,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,118,130.4,145,3,20,2.672053054000571
2DCA,2,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,119,131.2,143,3,20,2.680330003000563
2DCA,2,841261389351106336388453704265699958857312029448662540250444050771261306584872573422932421785048870680169679610564412202407143315430095012588849761091575,114,121.8,138,3,20,2.493071766999492
2DCA,2,1675975994370721257050137325205843018579700068326074886723537484926573765670776995701281817833151264427064770062617656727595353732545568690818036725972991,119,129.4,142,3,20,2.658600626000407
2DCA,2,6703903968093095681276514629449106629549236251262327859520845086436035529146224822987324502292492810110979643130373269478131060027511451360965643525423099,113,127.0,138,3,20,2.5862173919995257
2DCA,2,3122178006633160760222553332222057361388341869127192707669323384726362781394523580476523368198410509676937896585756891426850199530584530771509247,123,131.6,137,3,20,2.7274003799975617
2DCA,2,211133697331097537822672468125826242429322543578859628214851206338422950062126893086864712448156893251772666751049173556888011057103335376899520454848511,118,124.6,136,3,20,2.5252548179996666
2DCA,2,3123323652715036682511841713415268148153684656542241290709384344206073135693061710872812617783686433323640954975294655478821014897609775010283518,121,127.0,133,3,20,2.586171523998928
2DCA,2,13195859060179321503154914467799771692473524680083783517648232509600073304354054946590463329187015806139226068334811878407390323966503117605070044135407,121,129.2,138,3,20,2.6408337089997076
2DCA,2,837987998743208706293438895910064185416085135728006956013014680144964258512247273966960267020646977886593893192181590792693098226558759767416676604706815,111,124.0,138,3,20,2.524228144000517
2DCA,3,3121796387206642884643857416392790822561153338089131313336294901989347463966085527506064362464945761972343539698942077685305702887423562131439615,120,127.4,137,3,20,2.6024816440003633
